,currentDate,symbol,inceptionDate,longName,industryKey,sectorKey,marketCap,averageVolume,totalRevenue,totalDebt,totalCash,ebitda,currentPrice,recommendationKey
30,2024-09-03,CROMPTON.NS,2016-05-13,Crompton Greaves Consumer Electricals Limited,furnishings-fixtures-appliances,consumer-cyclical,299130028032,4005680,75736498176,,,,464.85,buy
31,2024-09-03,TRITURBINE.NS,2011-10-28,Triveni Turbine Limited,specialty-industrial-machinery,industrials,233312518144,1682935,17408000000,,,,732.8,buy
32,2024-09-03,PPLPHARMA.NS,2022-10-19,Piramal Pharma Limited,drug-manufacturers-specialty-generic,healthcare,257520271360,4487952,83734503424,,,,194.97,none
33,2024-09-03,INOXWIND.NS,2015-04-09,Inox Wind Limited,specialty-industrial-machinery,industrials,287902302208,14494057,20333199360,,,,220.63,none
34,2024-09-03,ACE.NS,2006-09-26,Action Construction Equipment Limited,farm-heavy-construction-machinery,industrials,151370498048,424647,29964500992,,,,1271.85,buy
35,2024-09-03,ATUL.NS,2002-07-01,Atul Ltd,specialty-chemicals,basic-materials,231860076544,78794,48793198592,,,,7875.2,buy
36,2024-09-03,CGCL.NS,2010-10-29,Capri Global Capital Limited,credit-services,financial-services,172640813056,699600,14299209728,,,,207.63,buy
37,2024-09-03,TVSHLTD.NS,2002-08-12,TVS Holdings Limited,auto-parts,consumer-cyclical,276705312768,8160,356937990144,,,,13676.55,none
38,2024-09-03,SHYAMMETL.NS,2021-06-24,Shyam Metalics and Energy Limited,steel,basic-materials,223042895872,1202999,134738001920,,,,802.05,none
39,2024-09-03,NUVAMA.NS,2023-09-26,Nuvama Wealth Management Limited,asset-management,financial-services,229537021952,99681,28523988992,,,,6449.1,strong_buy
40,2024-09-03,KIMS.NS,2021-06-28,Krishna Institute of Medical Sciences Limited,medical-care-facilities,healthcare,203678760960,92938,25805438976,,,,2545.1,strong_buy
41,2024-09-03,CELLO.NS,2023-11-06,Cello World Limited,furnishings-fixtures-appliances,consumer-cyclical,199348699136,283342,20291479552,,,,902.5,buy
42,2024-09-03,PNBHOUSING.NS,2016-11-07,PNB Housing Finance Limited,mortgage-finance,financial-services,253189046272,2622473,31371200512,,,,974.7,buy
43,2024-09-03,REDINGTON.NS,2007-02-15,Redington Limited,information-technology-services,technology,155757297664,1460520,895643615232,,,,198.94,none
44,2024-09-03,LAXMIMACH.NS,2002-07-01,Lakshmi Machine Works Limited,specialty-industrial-machinery,industrials,164392140800,5168,41819299840,,,,15388.2,hold
45,2024-09-03,JYOTHYLAB.NS,2007-12-19,Jyothy Labs Limited,household-personal-products,consumer-defensive,201359048704,1272018,28157700096,,,,548.35,buy
46,2024-09-03,CESC.NS,2002-07-01,CESC Limited,utilities-regulated-electric,utilities,259881844736,10715272,158462099456,,,,195.79,buy
47,2024-09-03,GODFRYPHLP.NS,1999-01-04,Godfrey Phillips India Limited,tobacco,consumer-defensive,345735561216,242337,45435400192,,,,6676.7,none
48,2024-09-03,NSLNISP.NS,2023-02-20,NMDC Steel Limited,steel,basic-materials,156229681152,7349224,49331949568,,,,53.26,none
49,2024-09-03,RITES.NS,2018-07-03,RITES Limited,engineering-construction,industrials,156256370688,2651086,23942600704,,,,650.25,buy
50,2024-09-03,CONCORDBIO.NS,2023-08-18,Concord Biotech Limited,biotechnology,healthcare,181461680128,117242,10379131904,,,,1734.55,none
51,2024-09-03,INDIAMART.NS,2019-07-04,IndiaMART InterMESH Limited,internet-content-information,communication-services,178009538560,289763,12459880448,,,,2969.3,buy
52,2024-09-03,OLECTRA.NS,2002-07-01,Olectra Greentech Limited,farm-heavy-construction-machinery,industrials,127463071744,948144,12520507392,,,,1552.75,none
53,2024-09-03,WHIRLPOOL.NS,2002-08-12,Whirlpool of India Limited,furnishings-fixtures-appliances,consumer-cyclical,281719275520,315949,72880603136,,,,2220.5,none
54,2024-09-03,ANANDRATHI.NS,2021-12-14,Anand Rathi Wealth Limited,asset-management,financial-services,160738263040,41466,8189506048,,,,3872.25,none
55,2024-09-03,NAVINFLUOR.NS,2007-06-01,Navin Fluorine International Limited,chemicals,basic-materials,163493462016,257143,20975400960,,,,3296.0,none
56,2024-09-03,JWL.NS,2010-10-18,Jupiter Wagons Limited,railroads,industrials,235975802880,2315662,37704077312,,,,555.7,buy
57,2024-09-03,APTUS.NS,2021-08-24,Aptus Value Housing Finance India Limited,mortgage-finance,financial-services,160469647360,734966,10456043520,,,,321.5,buy
58,2024-09-03,FINCABLES.NS,2002-07-01,Finolex Cables Limited,electrical-equipment-parts,industrials,221929783296,222374,50406199296,,,,1451.1,none
59,2024-09-03,FINPIPE.NS,2002-07-01,Finolex Industries Limited,building-products-equipment,industrials,192087621632,1031333,42787500032,,,,310.65,buy
60,2024-09-03,POLYMED.NS,2011-12-07,Poly Medicure Limited,medical-instruments-supplies,healthcare,241004789760,160708,14397426688,,,,2377.5,buy
61,2024-09-03,VINATIORGA.NS,2009-07-28,Vinati Organics Limited,specialty-chemicals,basic-materials,202708500480,107643,19859429376,,,,1955.4,none
62,2024-09-03,INTELLECT.NS,2014-12-18,Intellect Design Arena Limited,software-application,technology,135640350720,383878,24734040064,,,,989.0,buy
63,2024-09-03,JAIBALAJI.NS,2003-12-09,Jai Balaji Industries Limited,steel,basic-materials,173810991104,65158,66495254528,,,,952.65,none
64,2024-09-03,J&KBANK.NS,2002-08-12,The Jammu and Kashmir Bank Limited,banks-regional,financial-services,120964628480,5462580,56609845248,,,,109.85,none
65,2024-09-03,KARURVYSYA.NS,1996-01-01,The Karur Vysya Bank Limited,banks-regional,financial-services,180106215424,2516743,49478901760,,,,223.76,strong_buy
66,2024-09-03,BLUEDART.NS,2002-07-01,Blue Dart Express Limited,integrated-freight-logistics,industrials,190834016256,22711,53762498560,,,,8042.6,none
67,2024-09-03,MANAPPURAM.NS,2010-06-30,Manappuram Finance Limited,credit-services,financial-services,179884376064,9687967,55671779328,,,,212.52,none
68,2024-09-03,AFFLE.NS,2019-08-08,Affle (India) Limited,advertising-agencies,communication-services,226399404032,735873,19557300224,,,,1615.5,buy
69,2024-09-03,NCC.NS,2002-08-12,NCC Limited,engineering-construction,industrials,202260905984,8042749,219925495808,,,,322.15,buy
70,2024-09-03,RBLBANK.NS,2016-08-31,RBL Bank Limited,banks-regional,financial-services,138295853056,7987752,75850407936,,,,227.79,buy
71,2024-09-03,TTML.NS,2000-10-26,Tata Teleservices (Maharashtra) Limited,telecom-services,communication-services,187572699136,26924424,12296399872,,,,95.85,none
72,2024-09-03,BASF.NS,2002-07-01,BASF India Limited,specialty-chemicals,basic-materials,282980810752,73693,143597305856,,,,6528.9,hold
73,2024-09-03,VGUARD.NS,2008-03-13,V-Guard Industries Limited,electrical-equipment-parts,industrials,197064065024,886570,51190099968,,,,453.05,buy
74,2024-09-03,CAMS.NS,2020-10-05,Computer Age Management Services Limited,information-technology-services,technology,217489375232,444528,12066219008,,,,4418.1,none
75,2024-09-03,GESHIP.NS,2002-07-01,The Great Eastern Shipping Company Limited,marine-shipping,industrials,188131229696,1622056,54797099008,,,,1317.75,buy
76,2024-09-03,CENTURYPLY.NS,2006-03-23,Century Plyboards (India) Limited,lumber-wood-production,basic-materials,175583969280,213099,40003362816,,,,788.5,none
77,2024-09-03,CLEAN.NS,2021-07-19,Clean Science and Technology Limited,specialty-chemicals,basic-materials,156519825408,245005,8273829888,,,,1473.1,buy
78,2024-09-03,JINDALSAW.NS,2002-07-01,Jindal Saw Limited,steel,basic-materials,218177519616,1379857,214865494016,,,,685.5,none
79,2024-09-03,FSL.NS,2007-02-22,Firstsource Solutions Limited,information-technology-services,technology,217870598144,7716023,65981321216,,,,315.05,buy
80,2024-09-03,ZENSARTECH.NS,2002-07-01,Zensar Technologies Limited,information-technology-services,technology,179061866496,1376101,49628000256,,,,789.8,none
81,2024-09-03,SOBHA.NS,2006-12-20,Sobha Limited,real-estate-development,real-estate,175370747904,235433,28294279168,,,,1737.6,buy
82,2024-09-03,CHAMBLFERT.NS,2002-07-01,Chambal Fertilisers and Chemicals Limited,agricultural-inputs,basic-materials,211905429504,5742835,173103595520,,,,528.85,strong_buy
83,2024-09-03,DATAPATTNS.NS,2021-12-24,Data Patterns (India) Limited,aerospace-defense,industrials,154105741312,596592,5341899776,,,,2751.5,none
84,2024-09-03,CHENNPETRO.NS,2002-07-01,Chennai Petroleum Corporation Limited,oil-gas-refining-marketing,energy,146321211392,1482536,689855922176,,,,981.6,none
85,2024-09-03,WELCORP.NS,2000-06-23,Welspun Corp Limited,steel,basic-materials,183112040448,1709550,164075601920,,,,698.2,strong_buy
86,2024-09-03,MGL.NS,2016-07-01,Mahanagar Gas Limited,utilities-regulated-gas,utilities,178442092544,794368,64180699136,,,,1806.5,buy
87,2024-09-03,KSB.NS,2002-07-01,KSB Limited,specialty-industrial-machinery,industrials,159593775104,214408,23565379584,,,,917.0,strong_buy
88,2024-09-03,WELSPUNLIV.NS,2003-12-04,Welspun Living Limited,textile-manufacturing,consumer-cyclical,179383828480,5830445,100316798976,,,,188.84,none
89,2024-09-03,HSCL.NS,2007-03-02,Himadri Speciality Chemical Limited,specialty-chemicals,basic-materials,257720041472,1608853,44343902208,,,,522.1,none
90,2024-09-03,DCMSHRIRAM.NS,2002-07-01,DCM Shriram Limited,specialty-chemicals,basic-materials,177655234560,119000,113705697280,,,,1148.2,strong_buy
91,2024-09-03,ASTRAZEN.NS,2002-07-01,AstraZeneca Pharma India Limited,drug-manufacturers-specialty-generic,healthcare,167696252928,29329,13875800064,,,,6707.85,none
92,2024-09-03,ZEEL.NS,2002-07-01,Zee Entertainment Enterprises Limited,broadcasting,communication-services,136393695232,19380503,87839301632,,,,142.0,hold
93,2024-09-03,BEML.NS,2002-07-01,BEML Limited,conglomerates,industrials,158186635264,800704,41114898432,,,,3798.5,hold
94,2024-09-03,HFCL.NS,2002-08-12,HFCL Limited,communication-equipment,technology,220173074432,46573428,46280998912,,,,147.49,buy
95,2024-09-03,RAINBOW.NS,2022-05-10,Rainbow Children's Medicare Limited,medical-care-facilities,healthcare,129813987328,154635,13399520256,,,,1278.2,buy
96,2024-09-03,ABSLAMC.NS,2021-10-11,Aditya Birla Sun Life AMC Limited,asset-management,financial-services,214735814656,537962,17287499776,,,,745.0,hold
97,2024-09-03,HONASA.NS,2023-11-07,Honasa Consumer Limited,household-personal-products,consumer-defensive,163921330176,1463670,20094740480,,,,504.9,buy
98,2024-09-03,ASAHIINDIA.NS,2002-07-01,Asahi India Glass Limited,auto-parts,consumer-cyclical,154312540160,211924,44007600128,,,,632.75,none
99,2024-09-03,PVRINOX.NS,2022-11-10,PVR INOX Limited,entertainment,communication-services,148645380096,584438,59929001984,,,,1513.5,buy
100,2024-09-03,ARE&M.NS,2023-10-18,Amara Raja Energy & Mobility Limited,electrical-equipment-parts,industrials,275242123264,2288847,121752199168,,,,1503.85,none
101,2024-09-03,IIFL.NS,2005-05-17,IIFL Finance Limited,credit-services,financial-services,194409906176,2552080,66617999360,,,,457.7,buy
102,2024-09-03,BLS.NS,2016-06-15,BLS International Services Limited,specialty-business-services,industrials,176072753152,4361319,17859952640,,,,427.95,hold
103,2024-09-03,ALOKINDS.NS,1996-01-02,Alok Industries Limited,textile-manufacturing,consumer-cyclical,132466401280,21353172,51009798144,,,,26.63,none
104,2024-09-03,VTL.NS,2002-07-01,Vardhman Textiles Limited,textile-manufacturing,consumer-cyclical,141246513152,556299,94949703680,,,,488.2,buy
105,2024-09-03,GRINFRA.NS,2021-07-19,G R Infraprojects Limited,engineering-construction,industrials,153662996480,71218,85322219520,,,,1589.25,hold
106,2024-09-03,HBLPOWER.NS,2007-01-04,HBL Power Systems Limited,electrical-equipment-parts,industrials,176407183360,2733010,22860283904,,,,636.3,none
107,2024-09-03,WESTLIFE.NS,2019-08-19,Westlife Foodworld Limited,restaurants,consumer-cyclical,127364227072,120149,23696568320,,,,819.5,none
108,2024-09-03,RKFORGE.NS,2004-05-05,Ramkrishna Forgings Limited,tools-accessories,industrials,173265305600,1193052,40675684352,,,,958.75,hold
109,2024-09-03,KIRLOSENG.NS,2002-08-12,Kirloskar Oil Engines Limited,specialty-industrial-machinery,industrials,195505258496,272810,59904999424,,,,1347.55,hold
110,2024-09-03,TITAGARH.NS,2008-04-21,Titagarh Rail Systems Limited,railroads,industrials,188116336640,2465322,38455902208,,,,1396.05,none
111,2024-09-03,FINEORG.NS,2018-07-02,Fine Organic Industries Limited,specialty-chemicals,basic-materials,161378910208,52023,21254633472,,,,5263.5,hold
112,2024-09-03,AMBER.NS,2018-01-30,Amber Enterprises India Limited,furnishings-fixtures-appliances,consumer-cyclical,150739861504,181863,74285735936,,,,4465.85,buy
113,2024-09-03,BIKAJI.NS,2022-11-16,Bikaji Foods International Limited,packaged-foods,consumer-defensive,210647793664,692060,24194420736,,,,841.0,strong_buy
114,2024-09-03,SWSOLAR.NS,2019-08-20,Sterling and Wilson Renewable Energy Limited,solar,technology,158427545600,1093139,34354700288,,,,678.95,buy
115,2024-09-03,RAYMOND.NS,1996-01-01,Raymond Limited,textile-manufacturing,consumer-cyclical,133601935360,602666,94837882880,,,,2007.5,strong_buy
116,2024-09-03,IEX.NS,2017-10-23,Indian Energy Exchange Limited,capital-markets,financial-services,180877672448,17113505,5779504128,,,,203.41,hold
117,2024-09-03,SPARC.NS,2003-01-14,Sun Pharma Advanced Research Company Limited,drug-manufacturers-specialty-generic,healthcare,73922199552,881075,684052992,,,,227.49,buy
118,2024-09-03,GRAPHITE.NS,2002-07-01,Graphite India Limited,electrical-equipment-parts,industrials,100003209216,959871,29306900480,,,,511.85,none
119,2024-09-03,SPLPETRO.NS,2002-07-01,Supreme Petrochem Limited,specialty-chemicals,basic-materials,161677262848,121470,55982755840,,,,857.9,none
120,2024-09-03,RAILTEL.NS,2021-02-26,RailTel Corporation of India Limited,telecom-services,communication-services,160115965952,9467722,26583199744,,,,498.9,sell
121,2024-09-03,INGERRAND.NS,2002-07-01,Ingersoll-Rand (India) Limited,specialty-industrial-machinery,industrials,135285989376,21420,12269040640,,,,4282.3,buy
122,2024-09-03,ECLERX.NS,2007-12-31,eClerx Services Limited,information-technology-services,technology,134021406720,92282,30229880832,,,,2854.55,buy
123,2024-09-03,JUNIPER.NS,2024-02-28,Juniper Hotels Limited,lodging,consumer-cyclical,93584343040,201904,8497020928,,,,420.6,strong_buy
